university_id,ielts_score,gre_score,toefl_score,technical_papers_count,total_work_experience_in_months,application_status
702,7.5,307.0,100.0,4,34,6
702,7.5,295.0,,1,3,7
702,,319.0,116.0,0,0,6
702,,310.0,107.0,1,146,6
702,,260.0,80.0,2,38,6
702,,327.0,108.0,2,45,6
702,,325.0,107.0,2,0,6
702,,332.0,117.0,0,2,6
702,,310.0,107.0,1,146,6
702,,319.0,116.0,0,0,6
702,,325.0,107.0,2,0,6
702,,260.0,80.0,2,38,6
702,7.5,295.0,,1,3,7
702,,327.0,108.0,2,45,6
702,8.0,320.0,111.0,1,40,6
702,,321.0,116.0,0,0,6
702,,322.0,106.0,0,0,6
702,,321.0,114.0,0,60,6
702,,310.0,99.0,2,35,6
702,,317.0,114.0,2,4,6
702,8.5,333.0,,0,46,6
702,,330.0,120.0,0,38,6
702,8.5,326.0,,0,31,6
702,,325.0,117.0,0,2,6
702,,315.0,105.0,4,20,6
702,8.0,320.0,,1,31,7
702,,329.0,110.0,3,6,6
702,,329.0,110.0,2,89,6
702,,326.0,113.0,0,48,7
702,7.0,321.0,116.0,4,2,6
702,8.0,317.0,,0,65,6
702,,329.0,110.0,2,40,6
702,7.5,315.0,,0,33,6
702,,321.0,114.0,0,14,6
702,8.0,320.0,111.0,1,40,6
702,,329.0,117.0,2,33,6
702,,310.0,109.0,1,110,6
702,8.0,332.0,117.0,1,46,6
702,,328.0,116.0,1,37,6
702,,327.0,118.0,1,100,6
702,,317.0,107.0,0,28,6
702,,299.0,104.0,0,37,6
702,7.0,309.0,,0,0,6
702,,325.0,110.0,3,41,6
702,,330.0,116.0,2,9,6
702,,322.0,101.0,2,61,6
702,,330.0,112.0,0,0,6
702,8.0,315.0,,0,121,6
702,,324.0,100.0,1,111,6
702,,327.0,95.0,0,74,6
702,7.5,312.0,,1,43,6
702,8.0,323.0,,2,43,6
702,,311.0,101.0,1,40,6
702,,326.0,116.0,3,35,6
702,8.0,313.0,,1,47,6
702,,313.0,113.0,2,46,6
702,,314.0,102.0,0,0,6
702,7.0,324.0,,1,3,6
702,,315.0,104.0,0,30,6
702,,329.0,113.0,0,71,6
702,,334.0,114.0,1,202,6
702,,324.0,112.0,0,0,6
702,,328.0,114.0,1,53,6
702,,330.0,116.0,0,0,6
702,,321.0,114.0,0,60,6
702,,317.0,105.0,0,68,6
702,,329.0,115.0,3,92,6
702,8.5,328.0,,1,35,6
702,,316.0,114.0,0,0,6
702,,303.0,105.0,0,77,6
702,8.0,325.0,,2,20,6
702,,312.0,109.0,0,0,6
702,7.5,317.0,,0,0,7
702,7.5,316.0,,0,21,6
702,,322.0,111.0,1,0,6
702,,321.0,104.0,0,48,6
702,,332.0,115.0,1,90,7
702,,308.0,96.0,1,17,7
702,7.5,320.0,,1,2,6
702,8.0,318.0,,0,16,6
702,,312.0,102.0,1,36,6
702,7.5,321.0,,0,0,6
702,8.0,320.0,,0,0,6
702,,331.0,109.0,0,43,6
702,6.5,325.0,,0,0,6
702,,307.0,105.0,0,43,6
702,,326.0,116.0,0,0,6
702,7.0,295.0,,0,4,6
702,,330.0,0.0,0,0,6
702,,323.0,113.0,1,45,6
702,,321.0,100.0,0,17,6
702,8.5,334.0,,0,0,6
702,,317.0,100.0,0,0,6
702,,319.0,113.0,0,0,6
702,,327.0,117.0,0,54,6
